nb_shards,nb_requests,accuracy,retraining_time
4,0,0.9726172514526018,228.28223514556885
4,0,0.9726172514526018,228.28223514556885
4,1,0.9724888446598825,228.28223514556885
4,2,0.9724567429617027,228.28223514556885
4,3,0.9725209463580623,228.28223514556885
4,4,0.9724246412635228,228.28223514556885
4,4,0.9724246412635228,228.28223514556885
4,5,0.9721036242817245,228.28223514556885
4,6,0.9730345735289396,228.28223514556885
4,7,0.9726172514526018,228.28223514556885
4,8,0.9726493531507817,228.28223514556885
4,8,0.9726493531507817,228.28223514556885
4,9,0.972199929376264,228.28223514556885
4,10,0.9723283361689833,228.28223514556885
4,11,0.972199929376264,228.28223514556885
4,12,0.9725209463580623,228.28223514556885
